fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,tmed,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2014-06-13,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,1",08,"1,9","10,0",14:40,"19,9","13,1",23:59,"26,7",14:30,76,99,Varias,58,13:20
2014-06-14,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",02,"2,8","12,2",14:40,"15,8","10,5",05:00,"21,1",15:50,73,99,Varias,58,14:20
2014-06-15,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",08,"3,6","12,5",10:30,"16,6","13,0",21:40,"20,2",13:40,68,99,03:20,49,12:40
2014-06-16,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",36,"1,9","10,0",15:30,"14,8","9,7",23:50,"19,9",15:10,70,99,Varias,63,15:10
2014-06-17,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",34,"1,7","10,8",15:20,"15,3","8,8",03:50,"21,8",13:30,70,99,Varias,51,12:40
2014-06-18,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",32,"1,1","10,3",15:40,"15,8","8,5",04:10,"23,0",14:30,69,99,Varias,52,Varias
2014-06-19,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",06,"0,8","5,3",18:20,"17,6","9,2",Varias,"26,1",Varias,64,99,Varias,45,16:10
2014-06-20,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,9",26,"0,0","7,8",20:00,"21,6","13,3",04:40,"30,0",14:10,62,99,04:30,46,14:30
2014-06-21,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"1,8",24,"0,3","9,2",20:10,"23,4","16,1",04:00,"30,7",14:10,64,99,Varias,42,14:00
2014-06-22,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"11,5",21,"0,6","12,8",19:20,"21,3","14,7",02:50,"27,9",15:10,69,99,Varias,47,14:10
2014-06-23,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"1,7",01,"1,1","11,4",17:00,"20,4","13,6",04:10,"27,1",13:10,84,99,Varias,54,14:30
2014-06-24,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"16,9",06,"0,8","9,7",13:40,"18,2","13,7",Varias,"22,6",13:00,87,99,Varias,67,13:00
